sample	mean	min	max	count
seq015764_NC_wgs	163.559	3	996	27821426
seq015845_NC_wgs	165.344	2	998	39200687
seq015847_NC_wgs	164.246	2	987	37029644
seq015853_NC_wgs	161.037	2	990	41792002
seq015867_NC_wgs	164.858	2	981	36205963
seq016101_NC_wgs	163.631	2	948	42908920
seq016116_NC_wgs	163.292	2	974	30405905
seq016130_NC_wgs	163.216	2	973	35948491
seq016138_NC_wgs	166.694	2	956	38141544
seq016188_NC_wgs	165.677	4	991	39658766
seq017061_NC_wgs	163.32	2	989	35191918
seq017068_NC_wgs	164.566	3	864	35215923
seq017070_NC_wgs	160.623	5	995	37554094
seq017083_NC_wgs	159.441	2	973	30063291
seq017089_NC_wgs	163.121	2	994	33734999
seq017222_NC_wgs	167.059	2	980	28601020
seq017233_NC_wgs	163.688	2	977	38812101
seq017236_NC_wgs	158.945	3	954	35988158
seq017249_NC_wgs	165.581	2	938	38626651
seq017254_NC_wgs	163.259	3	963	29846341
seq017261_NC_wgs	164.072	8	997	29235255
