sample	group	mean_frag	count
seq015764_NC_wgs	healthy	163.559	27821426
seq015807_NC_wgs	healthy	159.524	47515245
seq015845_NC_wgs	healthy	165.344	39200687
seq015847_NC_wgs	healthy	164.246	37029644
seq015853_NC_wgs	healthy	161.037	41792002
seq015867_NC_wgs	healthy	164.858	36205963
seq016101_NC_wgs	healthy	163.631	42908920
seq016116_NC_wgs	healthy	163.292	30405905
seq016130_NC_wgs	healthy	163.216	35948491
seq016138_NC_wgs	healthy	166.694	38141544
seq016188_NC_wgs	healthy	165.677	39658766
seq017061_NC_wgs	healthy	163.320	35191918
seq017068_NC_wgs	healthy	164.566	35215923
seq017070_NC_wgs	healthy	160.623	37554094
seq017083_NC_wgs	healthy	159.441	30063291
seq017089_NC_wgs	healthy	163.121	33734999
seq017222_NC_wgs	healthy	167.059	28601020
seq017233_NC_wgs	healthy	163.688	38812101
seq017236_NC_wgs	healthy	158.945	35988158
seq017249_NC_wgs	healthy	165.581	38626651
seq017254_NC_wgs	healthy	163.259	29846341
seq017261_NC_wgs	healthy	164.072	29235255
seq017267_NC_wgs	healthy	168.355	32107570
seq017286_NC_wgs	healthy	163.703	35341454
seq017297_NC_wgs	healthy	165.308	39498817
seq017311_NC_wgs	healthy	162.528	44957952
seq017424_NC_wgs	healthy	162.922	32176695
seq017449_NC_wgs	healthy	163.206	38141988
seq017452_NC_wgs	healthy	164.325	37427419
seq017492_NC_wgs	healthy	166.418	31648620
seq017493_NC_wgs	healthy	164.415	32384978
seq017503_NC_wgs	healthy	165.550	29376389
seq017631_NC_wgs	healthy	167.305	37400174
seq017633_NC_wgs	healthy	160.936	40386466
seq017648_NC_wgs	healthy	162.467	37823406
seq017683_NC_wgs	healthy	163.925	31797158
seq017685_NC_wgs	healthy	163.605	39294887
seq017686_NC_wgs	healthy	166.131	33294292
seq017899_NC_wgs	healthy	167.533	33527336
seq017909_NC_wgs	healthy	162.514	29762551
seq018061_NC_wgs	healthy	168.369	37680891
seq018075_NC_wgs	healthy	168.707	25954136
